Chapter,Title,Question,Answer,Choices
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,မည်သည့်ဘာသာစကားတွင်မဆို ___ သည် အတိမ်းအစောင်းမခံနိုင်သော သဘောတရားတစ်ရပ်ဖြစ်ပါသည်။,(ဂ),"(က) အသံအတိုးအကျယ်
(ခ) အသံအတက်အကျ
(ဂ) အသံအနိမ့်အမြင့်"
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,"အသံအလေးအပေါ့ ဆိုသည်မှာ ___ ကို အသံထုတ်လုပ်ရာတွင် အသုံးပြုသော အားထုတ်မှု အတိုင်းအတာပမာဏဖြစ်သည်။",(က),"(က) အသံတစ်သံ
(ခ) အသံနှစ်သံ
(ဂ) အသံသုံးသံ"
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အပြန်အလှန်ပြောနှုန်းဆိုသည်မှာ တစ်မိနစ်အတွင်းပြောသော စကားလုံးအရေအတွက် အနည်းဆုံး ___ ဖြစ်ပါသည်။,(ဂ),"(က) ၁၄၀
(ခ) ၁၃၀
(ဂ) ၁၂၀"
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,ရေဒီယိုအသံလွှင့်ချက် (သို့) အင်တာနက်အသံလွှင့်ချက်အတွက် ပြောသောစကားလုံးအရေအတွက်မှာ  ___ ဖြစ်ပါသည်။,(က),"(က) ၁၅ဝ-၁၆ဝ
(ခ) ၁၆ဝ-၁၇ဝ
(ဂ) ၁၇ဝ-၁၈ဝ"
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,မိမိ၏အားနည်းချက်၊ ပျော့ကွက်ကို ဖော်ထုတ်သည့်အဖြစ်မျိုး များနိုင်သမျှများအောင် အစွမ်းကုန် မြှင့်တင်ပြောခြင်းသည် ____ လမ်းညွှန်ဖြစ်သည်။,(ခ),"(က) လိမ္မာပါးနပ်မှ
(ခ) မိမိကိုယ်ကိုနှိမ့်ချမှု
(ဂ) ရက်ရောမှု"
2.1,ညောင်ရမ်းကြီးသမီး,"ညောင်ရမ်းကြီးသမီးစကားပြေကို မြန်မာနှစ် ___ တွင် အလှူမှတ်တမ်းတင်ခဲ့ခြင်း ဖြစ်သည်။",(ခ),"(က) ၆ဝ၃ ခုနှစ်
(ခ) ၆ဝ၄ ခုနှစ်
(ဂ) ၆ဝ၅ ခုနှစ်"
2.1,ညောင်ရမ်းကြီးသမီး,ညောင်ရမ်းကြီးသမီးသည် အလှူပစ္စည်းများကို လှူဒါန်းရာတွင် ____ ခွဲ၍ လှူဒါန်းခဲ့သည်။,(ခ),"(က) ၂ မျိုး
(ခ) ၃ မျိုး
(ဂ) ၄ မျိုး"
2.2, သစ္စာနှင့်ပညာ,သစ္စာနှင့်ပညာစကားပြေသည် ___ တွင် ရေးသားခဲ့သော စကားပြေဖြစ်သည်။,(ဂ),"(က) ပုဂံခေတ်
(ဂ) အင်းဝခေတ်
(ခ) ကုန်းဘောင်ခေတ်"
2.2, သစ္စာနှင့်ပညာ,သစ္စာနှင့်ပညာစကားပြေသည် အင်းဝခေတ်တွင် ___ ရေးသားခဲ့သော စကားပြေကောင်းတစ်ပုဒ်ဖြစ်ပါသည်။,(ခ),"(က) ရှင်မဟာရဋ္ဌသာရ
(ခ) ရှင်မဟာသီလဝံသ
(ဂ) ရှင်ဥတ္တမကျော်"
2.2, သစ္စာနှင့်ပညာ,ရှင်မဟာသီလဝံသကို မြန်မာနှစ် ___ တွင် တောင်တွင်းကြီးမြို့နယ်၊ မြို့လုလင်ရွာ၌ မွေးဖွားခဲ့သည်။,(က),"(က) ၈၁၅ ခုနှစ်
(ခ) ၈၁၆ ခုနှစ်
(ဂ) ၈၁၇ ခုနှစ်"
2.2, သစ္စာနှင့်ပညာ,ရှင်မဟာသီလဝံသ၏ငယ်မည်မှာ ___ ဖြစ်သည်။,(ခ),"(က) မောင်ဖြူ
(ခ) မောင်ညို
(ဂ) မောင်လှ"
2.3,ခေတ် ,တင်မောင်မြင့်သည် ___ ဘာသာတွင် အမှတ်အများဆုံးရရှိခဲ့သည်။,(ဂ),"(က) မြန်မာ
(ခ) အင်္ဂလိပ်
(ဂ) ပါဠိ"
