Chapter,Title,Question,Answer
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,ထိထိရောက်ရောက်စကားပြောဆိုရာမှာ အရေးပါလှတဲ့ သဘောတရားနှစ်ခုက ဘာလဲ။,အသံအနိမ့်အမြင့်နှင့် ဝါကျနိမ့်မြင့်သံ
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အသံအနိမ့်အမြင့် သဘောတရားကို ဝမ်းတွင်းပါအသိနဲ့ ဖန်တီးလို့ရပါသလား။,ရပါသည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အသံအနိမ့်အမြင့်တွေကို ဘယ်လိုဖန်တီးယူနိုင်သလဲ။,အသံအနိမ့်အမြင့်တွေကို အပြောစကား၏ လေယူလေသိမ်းနှင့် ထင်ရှားပေါ်လွင်မှုဖြင့် ဖန်တီးယူနိုင်သည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အသံအနိမ့်အမြင့်လွှဲမှားခဲ့ရင် ဘယ်သူတွေမှာ ရှုပ်ထွေးမှုတွေ ဖြစ်ပေါ်လာနိုင်သလဲ။,ပြောသူရော နာသူတွင်ပါ ရှုပ်ထွေးမှုများ ဖြစ်ပေါ်လာနိုင်သည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အသံအနိမ့်နှင့် အသံအမြင့်ကို ဘယ်လိုခွဲခြားနိုင်သလဲ။,အသံကြိုးများကို လျော့သွားအောင်ပြုလုပ်လျှင် အနိမ့်သံဖြစ်ပြီး၊ အသံကြိုးများကို တင်းလိုက်လျှင်အမြင့်သံဖြစ်ကြောင်း ခွဲခြားနိုင်သည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,ယဉ်ကျေးတဲ့စကားသံထွက်ချင်ရင် အဆုံးသတ်အသံကို အနိမ့်သံသုံးရသလား။ အမြင့်သံသုံးရသလား။,အနိမ့်သံသုံးရသည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,တစ်ဖက်သားကို အမိန့်ပေးချင်ရင် အဆုံးသတ်အသံကို အနိမ့်သံသုံးရသလား။ အမြင့်သံသုံးရသလား။,အမြင့်သံသုံးရသည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အသံကြိုးတင်းရင် ဘာသံဖြစ်သလဲ။ လျော့ရင် ဘာသံဖြစ်သလဲ။,အသံကြိုးတင်းရင် အမြင့်သံ။ အသံကြိုးလျော့ရင် အနိမ့်သံ။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အသံလေးနဲ့ အသံပေါ့တွေကို ဘယ်လိုခွဲခြားနိုင်သလဲ။,အသံထုတ်လုပ်ရာတွင် အားထုတ်မှုများလျှင် အသံလေးဖြစ်ပြီး၊ အားထုတ်မှုနည်းလျှင် အသံပေါ့ဖြစ်သည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အလေးပေးချင်တဲ့ အချက်အလက်ကို သိစေချင်ရင် အဲ့ဒီအလေးပေးတဲ့ပုဒ်ကို ထွက်ဆိုရသလား။ အသံပေါ့နဲ့ ထွက်ဆိုရသလား။,အသံလေးနဲ့ ထွက်ဆိုရသည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အလေးပေးချင်တဲ့ပုဒ်မပါရင်ရော ဝါကျထဲမှာ အသံအလေးအပေါ့ဆိုတာ ရှိသေးသလား။,ပြောသူရဲ့ခံစားမှု အလေးအပေါ့အရ ဝါကျထဲမှာလည်း အလေးအပေါ့ဆိုတာ ရှိနိုင်သည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အနှေးစကားပြောနှုန်းဆိုတာ ဘာလဲ။,တစ်မိနစ်အတွင်း ပြောဆိုသောစကားလုံးအရေအတွက် ၁၁၀ အောက်နိမ့်ကျသော စကားပြောနှုန်းဖြစ်သည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အပြန်အလှန်စကားပြောနှုန်းက ဘယ်လောက်ရှိသလဲ။,တစ်မိနစ်အတွင်းပြောသော စကားလုံးအရေအတွက်အနည်းဆုံး ၁၂၀ နှင့် အများဆုံး ၁၆ဝ-၂ဝဝ အကြားဖြစ်သည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,ရေဒီယိုအသံလွှင့်ချက်နဲ့ အင်တာနက်အသံလွှင့်ချက်အတွက် စကားပြောနှုန်း ဘယ်လောက်လဲ။,တစ်မိနစ်အတွင်းပြောသော စကားလုံးအရေအတွက် ၁၅၀-၁၆၀ နှုန်းဖြင့် ရွတ်ဖတ်ပြောဆိုရပါသည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အမြန်ဆုံးစကားပြောနှုန်းကို ဘယ်နေရာမှာတွေ့နိုင်သလဲ။,ဘောလုံးပွဲတိုက်ရိုက်ထုတ်လွှင့်ကြေညာရာ၌ တွေ့နိုင်သည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,လေလံပွဲ၌ လေလံပစ်ပေးသူ (ကြေညာသူ) သို့မဟုတ် ရုပ်မြင်သံကြား သို့မဟုတ် ရေဒီယိုတိုက်ရိုက်ထုတ်လွှင့်အစီရင်ခံသူအတွက် စကားပြောနှုန်းက ဘယ်လောက်လဲ။,တစ်မိနစ်အတွင်းပြောသော စကားလုံးအရေအတွက် ၂၅ဝ မှ ၄၀၀ အတွင်းဖြစ်ရပါသည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,ထိထိရောက်ရောက်စကားပြောဆိုခြင်းဆိုတာ ဘာလဲ။,စကားလုံးအသုံးအနှုန်း၊ အသံအနိမ့်အမြင့်နှင့် ကိုယ်ဟန်အမူအရာတို့က ထိထိရောက်ရောက် စကားပြောဆိုနိုင်စေသည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,သင်၏စကားအသုံးအနှုန်းကို သင်ကိုယ်တိုင် သတိပြုပြောဆိုပါသလား။,ကိုယ်တိုင်သတိမပြုမိတတ်ကြပေ။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အသံအတိုးအကျယ်ကို ဘယ်လိုဖန်တီးယူနိုင်သလဲ။,စကားပြောဆိုရာတွင် အသံအတိုးအကျယ်ကို ကစားပေးခြင်းအားဖြင့် စိတ်ဝင်စားဖွယ် ဖြစ်ပေါ်စေသည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အသံအနေအထားလွဲမှားခဲ့ရင် ဘယ်လိုရှုပ်ထွေးမှုတွေ ဖြစ်ပေါ်လာနိုင်သလဲ။,သင်၏ပရိသတ်ကို အမှန်တကယ်ရှုပ်ထွေးစေပါသည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,သင်ပြောသောစကားကို လူအများကနားထောင်ပြီး နားမလည်နိုင်ဟုဆိုလာလျှင် အဓိကအကြောင်းက ဘာလဲ။,သင်၏စကားပြောနှုန်းကြောင့် ဖြစ်သည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,ရှင်းလင်းပီသမှုဆိုတာ ဘာလဲ။,အသံကို ကြည်လင်ပီသမှုရှိအောင် ပြောဆိုခြင်း။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,ဟန်တစ်မျိုးမျိုးထည့်ပေးခြင်းဆိုတာ ဘာလဲ။,သင်စကားပြောသည့်အကြောင်းအရာကိုလိုက်၍ ဟန်တစ်မျိုးမျိုးထည့်ပေးရမည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,စကားပြောနှုန်းဆိုတာ ဘာလဲ။,စကားပြောနှုန်းကို သတ်မှတ်ချိန်ကိုက်ထားရန်၊ နှုန်းတစ်ခုတည်းဖြင့် ပုံသေစကားမပြောဆိုဘဲ စကားပြောနှုန်းကို အမျိုးမျိုးခွဲခြားပြောဆိုတတ်ရန်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အသံကြည်လင်ပီသမှုရှိအောင် မေးရိုးအနေအထားနှင့် နှုတ်ခမ်းအနေအထားတို့ကို ဘယ်လိုထားရသလဲ။,မေးရိုးများကို လွတ်လွတ်လပ်လပ်ရှိပြီး ပွင့်နေသောအနေအထားတွင် ထားရှိပါ။ နှုတ်ခမ်းများကိုသဘာဝကျကျ လှုပ်ရှားစေခြင်း။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အကြောင်းအရာနဲ့ ရည်ရွယ်ချက်ကိုလိုက်ပြီး ဟန်တစ်မျိုးမျိုး ဘယ်လိုထည့်ရသလဲ။,သဘာဝကျကျပြောဆိုနိုင်ရန် ဟန်တစ်မျိုးစီ ခွဲခြားပြောဆိုတတ်ရန်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အကောင်းဆုံးစကားပြောနှုန်းကိုရအောင် ဘယ်လိုချိန်ကိုက်ယူရသလဲ။,အလေးပေးစရာရှိရင် အလေးပေးနိုင်ရန် စကားကို အမျိုးမျိုးခွဲခြား ပြောဆိုချင်လာအောင် စကားပြောသည့် နှုန်းကို ချိန်ကိုက်ထားရန်ဖြစ်သည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,စကားပြောကောင်းသူတစ်ဦးဖြစ်လာဖို့ အရေးပါလှတဲ့ သဘောတရားက ဘာလဲ။,သူတစ်ပါးစကားပြောသည်ကို နားစိုက်ထောင်တတ်ဖို့။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,လူအများဟာ နားထောင်ချင်သူ များလား၊ ပြောဆိုချင်သူ များလား။,ပြောဆိုချင်သူ များသည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,သူတစ်ပါးစကားပြောဆိုတာကို ဂရုစိုက်နားထောင်ခြင်းကြောင့် ဘယ်လိုအကျိုးရှိသလဲ။,သူတစ်ပါးစကားပြောဆိုတာကို ဂရုစိုက်နားထောင်ခြင်းကြောင့် ထိုလူအား အကောင်းဆုံးချီးကျူးခြင်းခံရသည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,ထိထိရောက်ရောက် စကားပြောဆိုရာမှာ အရေးပါတဲ့ ယဉ်ကျေးချေငံမှုဆိုင်ရာ နည်းပရိယာယ် သဘောတရားနှစ်ခုက ဘာလဲ။,အပေါင်းလက္ခဏာသဘောဆောင်သော စကားသုံးနှုန်းပုံ။ အနုတ်လက္ခဏာသဘောဆောင်သော စကားသုံးနှုန်းပုံ။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အပေါင်းလက္ခဏာသဘောဆောင်တဲ့ စကားသုံးနှုန်းပုံဆိုတာ ဘာလဲ။,စကားဖြင့် ပြောဆိုဆက်သွယ်သူ ၂ ဦးတို့ တစ်ဦးနှင့်တစ်ဦး သဟဇာတဖြစ်မှု၊ အတူတူ ပူပေါင်းလုပ်ဆောင်မှု တို့ကို ဖော်ညွှန်းသည့်စကားမျိုးဖြစ်သည့် ပုဂ္ဂလဆိုင်ရာ အချက်အလက်များကို အသုံးပြုခြင်း၊ ငယ်နာမည်ပြောင်များကို ခေါ်ဝေါ်ပြောဆိုခြင်း၊ တစ်ခါတစ်ရံ ဆဲသံတိုင်းသံကလေးများ ထည့်ပြောခြင်း၊ အချင်းချင်း နားလည်သော ဗန်းစကားများ၊ ဒေသိယစကားများ ထည့်ပြောခြင်းတို့ ဖြစ်သည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,အနုတ်လက္ခဏာဆောင်တဲ့ စကားသုံးနှုန်းပုံဆိုတာ ဘာလဲ။,တစ်ဦး၏ကိုယ်ပိုင်လွတ်လပ်ခွင့်ကို ထိပါးမည်စိုး၍ ငဲ့ကွက်ထောက်ထားမှုကိုပြသော စကားသုံးနှုန်းပုံ၊ ပြောသူကိုရော၊ နာသူကိုပါ တိုက်ရိုက်ပတ်သက်ခြင်းမရှိသော ပုဂ္ဂလသဘောဆောင်သည့် နာသူ၏ဆန္ဒကို လေးစားလိုက်လျောသည့် စကားမျိုးဖြစ်သည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,ပေါင်းဖွဲ့စည်းလုံးမှု နည်းပရိယာယ်ဆိုတာ ဘာလဲ။,ပြောသူနှင့်နာသူတို့ သဟဇာတဖြစ်မှု၊ ပူးပေါင်းလုပ်ဆောင်မှုတို့ကို ဖော်ညွှန်းသည့်စကားမျိုးကို ပေါင်းဖွဲ့ စည်းလုံးမှုနည်းပရိယာယ်ဟု မှတ်ယူနိုင်သည်။ "တို့တာဝန်" "တို့အရေး" - "တို့"သည် ပေါင်းဖွဲ့စည်းလုံးမှုနည်းပရိယာယ်ပြ သော့ချက်စကားလုံးဖြစ်သည်။
1,အပြောသင်ခန်းဆိုင်ရာလေ့ကျင့်ခန်းများ,ပေါင်းဖွဲ့စည်းလုံးမှု နည်းပရိယာယ်ကိုသုံးရင် ဘယ်လိုအခြေအနေမျိုးတွေမှာ သုံးရသလဲ။,လူစုလူဝေးဖြင့်ဖြစ်စေ၊ တစ်ဦးချင်းဖြစ်စေ အသုံးပြုသည်။ ပြောသူပါ အတူပူးပေါင်းပါဝင်ကြောင်း အတူတူစုပေါင်းလုပ်ဆောင်ရန် စည်းရုံးညှိနှိုင်းစဉ် သုံးရသည်။
